,date,minTemp,maxTemp,percipitation,wind,windGust
0,12/1/2019,269.0683333333333,272.9841666666667,11.6725,2.9278750000000007,13.31666666666667
1,12/2/2019,273.6116666666667,274.3341666666667,3.238333333333333,4.6766250000000005,13.63583333333333
2,12/3/2019,270.41749999999996,275.2133333333333,0.9783333333333333,4.7234375,12.47
3,12/4/2019,271.3066666666667,275.745,0.0,2.141944444444445,10.376666666666667
4,12/5/2019,273.3208333333334,277.8975,0.0,3.6222499999999997,12.690833333333336
5,12/6/2019,272.9575,280.81666666666666,0.2658333333333333,2.777833333333333,10.750833333333333
6,12/7/2019,270.7758333333333,275.8833333333333,0.0,2.8561666666666667,10.5875
7,12/8/2019,264.56,275.80333333333334,0.0,1.5194583333333334,7.696666666666666
8,12/9/2019,273.30333333333334,284.1975,18.314166666666665,1.5492916666666665,6.998333333333335
9,12/10/2019,284.28000000000003,286.3875,4.2716666666666665,3.721190476190476,11.13
10,12/11/2019,271.80833333333334,278.4025,6.5200000000000005,1.9772083333333335,9.485833333333334
11,12/12/2019,266.9,273.53749999999997,0.0,2.4515972222222224,10.6175
12,12/13/2019,268.81166666666667,278.99500000000006,4.378333333333333,1.642048611111111,8.153333333333334
13,12/14/2019,281.72833333333335,285.09000000000003,26.343333333333337,2.9302083333333333,10.3775
14,12/15/2019,277.37916666666666,280.0516666666667,0.0,5.249791666666669,13.250833333333333
15,12/16/2019,271.7183333333333,274.43,0.0,1.7444166666666665,8.457500000000001
16,12/17/2019,271.5408333333334,273.16166666666663,11.421666666666669,2.1602083333333333,9.900833333333333
17,12/18/2019,270.30583333333334,273.7758333333333,0.19499999999999998,2.5121180555555553,11.956666666666665
18,12/19/2019,262.8383333333333,267.98583333333335,0.0,4.892208333333334,14.281666666666666
19,12/20/2019,263.87416666666667,271.66416666666663,0.0,2.6105833333333335,9.878333333333334
20,12/21/2019,265.5566666666667,272.90166666666664,0.0,1.3714583333333334,6.3325
21,12/22/2019,267.0891666666667,279.9475,0.0,1.5284583333333335,5.7225
22,12/23/2019,272.6041666666667,286.10416666666663,0.0,1.8334583333333334,6.1275
23,12/24/2019,275.8241666666667,280.895,0.0,2.934166666666666,8.466666666666667
24,12/25/2019,270.44500000000005,278.5175,0.0,1.4573333333333334,5.2058333333333335
25,12/26/2019,272.00083333333333,278.3316666666667,0.0,2.0138333333333334,6.791666666666667
26,12/27/2019,277.035,283.3808333333333,0.0,1.4292083333333334,8.4125
27,12/28/2019,277.66833333333335,281.9116666666667,0.0,2.3040833333333337,6.897500000000001
28,12/29/2019,272.62916666666666,277.68083333333334,2.626666666666667,1.671,4.4783333333333335
29,12/30/2019,275.41833333333335,276.28416666666675,9.989166666666666,5.678625,16.72083333333333
30,12/31/2019,274.9141666666667,278.53416666666664,0.07333333333333333,2.471000000000001,10.086666666666666
31,1/1/2020,274.32250000000005,276.795,0.0,3.761625,10.9525
32,1/2/2020,270.66583333333335,281.4933333333334,0.0,2.377083333333333,9.784166666666668
33,1/3/2020,277.6033333333334,280.33166666666665,2.2824999999999998,0.9311666666666669,3.2916666666666665
34,1/4/2020,279.71166666666664,281.3233333333333,3.5016666666666665,1.3010833333333336,5.415833333333334
35,1/5/2020,274.9216666666667,277.71666666666664,0.7366666666666667,5.808458333333332,14.3725
36,1/6/2020,272.20166666666665,279.2033333333333,0.018333333333333333,2.965208333333334,10.473333333333334
37,1/7/2020,273.2191666666667,278.21916666666664,0.18666666666666665,2.11875,7.607500000000001
38,1/8/2020,271.0416666666667,276.8033333333333,0.05583333333333333,3.665333333333333,12.828333333333333
39,1/9/2020,266.28,272.715,0.0,3.2037916666666666,14.435
40,1/10/2020,270.45250000000004,282.59333333333336,0.0,1.77575,8.540000000000001
41,1/11/2020,279.7333333333333,290.42333333333335,0.0,2.780291666666667,11.437499999999998
42,1/12/2020,285.82916666666665,292.05416666666673,1.9849999999999999,5.727625000000001,13.596666666666666
43,1/13/2020,273.01666666666665,279.43083333333334,0.0,2.213208333333333,7.790833333333333
44,1/14/2020,274.935,278.4633333333333,0.63,1.131904761904762,5.3450000000000015
45,1/15/2020,276.7891666666667,282.6125,0.0,1.603923611111111,7.0491666666666655
46,1/16/2020,274.0341666666667,281.20666666666665,2.2841666666666667,3.963229166666667,16.354166666666664
47,1/17/2020,265.7608333333333,273.0758333333334,0.0,6.228166666666666,16.460833333333333
48,1/18/2020,263.7566666666667,269.36583333333334,3.9725,1.8639166666666669,8.62
49,1/19/2020,273.9633333333333,278.1383333333334,0.13000000000000003,3.594708333333334,11.083333333333334
50,1/20/2020,264.3241666666667,271.36583333333334,0.0,5.158041666666667,12.079166666666666
51,1/21/2020,261.485,271.7608333333333,0.0,2.2331597222222217,8.641666666666666
52,1/22/2020,262.9375,275.40833333333336,0.0,1.3570833333333332,3.3191666666666673
53,1/23/2020,265.71999999999997,278.4266666666667,0.0,0.8654583333333337,3.025
54,1/24/2020,270.97166666666664,282.49083333333334,0.0,1.2011111111111112,5.05
55,1/25/2020,274.4316666666667,279.5466666666667,21.7425,4.857916666666666,14.222500000000002
56,1/26/2020,272.7816666666667,279.7433333333333,0.0,2.4321666666666664,9.100833333333336
57,1/27/2020,273.37750000000005,278.8841666666667,0.0,2.788583333333334,8.828333333333335
58,1/28/2020,274.7583333333333,277.6333333333334,0.0,3.1574999999999998,8.728333333333333
59,1/29/2020,271.1775,275.98500000000007,0.0,3.612708333333334,8.829166666666667
60,1/30/2020,266.465,273.95666666666665,0.0,1.8158333333333332,8.238333333333333
